year,revenue
11/30/2020,$4784.67
10/12/2022,$1058.59
08/16/2022,$3440.04
02/09/2020,$1425.33
09/11/2021,$2589.20
11/01/2022,$1236.68
12/27/2021,$3386.25
12/23/2021,$2816.13
05/05/2021,$3015.50
08/18/2020,$2188.92
01/27/2020,$1324.13
02/24/2020,$3351.48
09/10/2021,$2287.19
07/09/2021,$2537.58
03/23/2020,$1328.31
10/22/2020,$4925.90
02/07/2020,$1391.69
02/19/2022,$3832.36
05/03/2022,$3206.83
09/30/2021,$4013.35
12/26/2020,$4028.67
03/26/2022,$2070.70
10/17/2021,$1342.80
08/14/2022,$2434.11
09/14/2020,$2085.97
06/15/2020,$2522.34
04/30/2021,$1891.41
08/18/2022,$1563.93
09/25/2020,$2097.33
08/04/2022,$2626.01
07/16/2020,$4339.75
09/29/2021,$2272.73
09/06/2020,$2574.29
08/09/2021,$3502.77
05/08/2020,$1845.39
11/01/2020,$1444.78
04/17/2020,$3286.05
02/08/2021,$4123.82
11/24/2021,$4042.61
06/24/2021,$1093.23
10/19/2020,$1329.30
08/15/2022,$4785.98
10/06/2020,$1717.10
12/19/2022,$2958.78
08/14/2021,$2636.72
05/09/2020,$1511.04
08/28/2020,$1712.73
06/17/2021,$2217.72
05/17/2020,$3533.15
07/29/2020,$3473.69
11/19/2021,$4313.60
09/18/2022,$4459.54
06/23/2022,$3344.10
07/30/2020,$2726.18
09/23/2022,$1690.70
01/29/2022,$2730.19
05/21/2020,$4418.44
02/25/2021,$2687.77
09/05/2022,$3863.02
12/30/2022,$3043.80
02/11/2021,$1756.41
08/24/2020,$1327.61
09/30/2022,$2862.37
05/14/2020,$1409.90
07/19/2020,$1778.89
11/18/2020,$2762.39
03/20/2020,$3895.58
12/20/2020,$4372.27
04/21/2022,$1356.87
04/14/2022,$3004.65
04/29/2021,$2730.89
05/16/2020,$1106.88
09/20/2021,$3044.08
09/11/2022,$3993.61
08/17/2020,$4972.73
09/24/2022,$4742.09
10/24/2022,$2749.55
01/17/2020,$2102.84
06/29/2022,$4572.50
05/05/2020,$4703.60
10/19/2021,$3307.69
03/18/2020,$1180.05
10/27/2021,$3182.27
03/16/2021,$2493.81
